stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
070002,070002,ΑΓ.ΓΕΩΡΓΙΟΣ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.990582979,23.686465313,0
070003,070003,ΕΣΤΑΥΡΩΜΕΝΟΣ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.991615763,23.681734701,0
070004,070004,ΓΕΩΡΓΙΟΣ ΖΑΜΠΕΤΑΣ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.992142104,23.679739430,0
070005,070005,ΜΠΑΡΟΥΤΑΔΙΚΟ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.993225389,23.677081148,0
070006,070006,ΟΤΕ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.994524382,23.674228224,0
070007,070007,ΠΛ.ΔΑΒΑΚΗ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.995294160,23.672311460,0
070008,070008,ΛΟΙΜΩΔΩΝ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.996933437,23.668716540,0
070009,070009,ΛΟΙΜΩΔΩΝ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.996868614,23.668101811,0
070010,070010,ΔΗΜΑΡΧΕΙΟ ΑΙΓΑΛΕΩ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.997390869,23.667928617,0
070011,070011,ΠΛ.ΔΑΒΑΚΗ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.994969227,23.672142071,0
070012,070012,ΟΤΕ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.993966350,23.674504024,0
070013,070013,ΜΠΑΡΟΥΤΑΔΙΚΟ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.992738702,23.677083282,0
070014,070014,ΕΣΤΑΥΡΩΜΕΝΟΣ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.991354270,23.681690277,0
070015,070015,ΑΓ.ΓΕΩΡΓΙΟΣ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.990301365,23.685635168,0
070016,070016,ΑΓ.ΠΑΝΤΕΛΕΗΜΩΝ,Επί της ΙΕΡΑΣ ΟΔΟΥ,37.989164654,23.688612311,0
070017,070017,ΓΕΦΥΡΑ Π.ΡΑΛΛΗ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.976734081,23.677882127,0
070019,070019,ΧΡ.ΣΜΥΡΝΗΣ,Επί της ΣΜΥΡΝΗΣ,37.993014041,23.678892876,0
070020,070020,ΕΛΑΙΟΥΡΓΙΚΗ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.986532060,23.684911050,0
070021,070021,ΑΓ.ΓΕΩΡΓΙΟΣ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.988401350,23.686269614,0
070022,070022,ΓΕΦΥΡΑ ΙΕΡΑΣ ΟΔΟΥ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.990615463,23.688515072,0
070023,070023,ΠΕΡΙΚΛΕΟΥΣ,Επί της ΠΕΡΙΚΛΕΟΥΣ,37.990597669,23.675270536,0
070024,070024,ΠΑΛ.ΚΑΒΑΛΑΣ,Επί της ΠΑΡΑΔΡΟΜΟ ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.994960541,23.692277844,0
070025,070025,ΤΡΟΧΑΙΑ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.993903066,23.691143379,0
